,sender,date,message,links
10,879377952,2023-02-22 07:12:37+00:00,"Приветствую вас, друзья! 

Виктор Алянич из Дубая (родом из Екатеринбурга). Сейчас живу в Калифорнии. Лечу к вам из Лос-Анджелеса.

Компании/стартапы: 
• VeVerse: https://veverse.com/ 
• Income Inflow: https://incomeinflow.com/
• Core Holdings

Направления:
• Видео производство, вкл. создание интерактивных видео
• Маркетинговые услуги: создание автоворонок, Email Marketing, Social Media Marketing, SEO, Marketing Automation, реклама в поисковиках и соц сетях, продвижение видео в соц сетях
• Создание сайтов
• Создание метавселенных
• Создание виртуальной реальности (VR)
• Организация мероприятий и концертов в виртуальной реальности
• Создание каналов и контента для YouTube

Обо мне:
• Серийный Предприниматель
• Сертифицированный Маркетолог
• Член Американской Ассоциации Маркетинга 
• Жил в 5 странах, посетил более 20

По совместительству:
• Веб-дизайнер - делаю сайты для компаний
• Музыкальный продюсер - пишу музыку, снимаю музыкальные клипы и осуществляю звукозапись артистов
• Кинопродюсер - снимаю фильмы и рекламные ролики
• Атлет - занимаюсь тайским боксом и фитнесом

Сейчас погрузился в изучение и применение инструментов в сфере AI для бизнес и творческих проектов.

Буду рад знакомству и общению с единомышленниками! Спасибо организаторам за замечательное мероприятие и спикеров!

Соц сети:
LinkedIn: https://www.linkedin.com/in/iamviktor/
Telegram: +1 (424) 328-9465 или @GoUnrivaled","['https://veverse.com/', 'https://incomeinflow.com/', 'https://www.linkedin.com/in/iamviktor/']"
11,24600840,2023-02-22 14:48:24+00:00,"Всем привет, меня зовут Баклан Ярослав.

Я совладелец IT мульти-продуктового холдинга, управляющий партнер в компании Boosta. Сферы деятельности iGaming, Education, Affiliate. В прошлом году запустил с партнерами Private equity фонд BRNR (https://brnr.co). Всего в холдинге работает больше 1300 человек. 

С прошлого года живу в Лондоне, до этого всю сознательную жизнь жил в Киеве. У меня трое детей, люблю путешествовать, медитирую под конструкторы Lego, увлекаюсь фотографией.

Могу быть полезен опытом как работать в партнерстве. Я совладелец 8 компаний и в каждой из них у меня от 2 до 5 партнеров. Также много операционно участвовал в развитии компаний, потому могу поделится как наладить процессы в компаниях на 100-500 человек.",['https://brnr.co']
12,957092212,2023-02-22 14:58:20+00:00,"Добрый день! 

Меня зовут Екатерина! Я учусь на втором курсе в Бостоне на направлении финансы. Совсем недавно мы основали маркетинговую компанию в России, которая занимается разработкой сайтов, бренд айдентикой и продвижением. На данный момент реализуем проект интерактивного конного музея в МО к КСК «Horseka».

С 17 лет работала ведущим специалистом в отделе развития в Московской Государственной Экспертизе, был небольшой опыт ведения бизнеса на маркетплейсе. 

В прошлом профессионально занималась бальными танцами. Люблю пробовать новые хобби и вещи. Обожаю конный спорт, вейк серф, все виды танцев и картинг) 

Буду очень рада новым знакомствам!) 

Компания: https://id-ig.com
Instagram: https://instagram.com/kate_burilkina
Telegram: https://t.me/OAW_XVHSN8hiNDhi","['https://id-ig.com', 'https://instagram.com/kate_burilkina', 'https://t.me/OAW_XVHSN8hiNDhi']"
13,172671496,2023-02-22 22:30:01+00:00,"Hello all, I’m Zamir Shukho, GP & Founder at Vibranium.VC - a venture fund based in Silicon Valley and led by an international team of serial entrepreneurs. Our investment focus is on seed-stage B2B SaaS startups. We aim to identify future champions and support their rapid growth and global expansion. With Vibranium, every startup becomes STRONGER.
Connect with me https://www.linkedin.com/in/zamirshukho/","['Vibranium.VC', 'https://www.linkedin.com/in/zamirshukho/']"
14,438241284,2023-02-22 23:13:21+00:00,"Антон Чехов - Владелец консалтиноговой компании, занимающейся оказанием бухгалтерских и маркетинговых услуг для предпринимателей. 4 года в бизнесе, 300 постоянных бизнес - клиентов, база из 1000+. 

Делаем свой финтех (банк) для предпринимателей. Придумали как сделать услуги бухгалтера для предпринимателей бесплатно. Разрабатываем кросс-маркетинговые стратегии выхода на рынок. 

Не ищу денег, ищу VC как партнера: гарантии перед банком, свежая голова и стратегическое планирование.",[]
15,1619029210,2023-02-22 23:56:20+00:00,Я тоже из Екатеринбурга! Живу в бей эрии сейчас.,[]
16,2124892232,2023-02-23 01:01:59+00:00,"Aloha, my friends. 🌺

Я Миша , родился в Сибири , живу на Гавайях 🏝️

Основатель Pele Heart Corporation. Занимаемся премиум хилинг спа церемониями на Гавайях, организуем ретриты на острове Мауи и сдаем кэмперы для туристов на островах.
Peleheart.com 

Прожил много опытов в жизни от доцента и кандидата наук (40+ научный публикаций: патенты, монографии) и профессионального скайдайвера с 17 летним стажем и 7000+ прыжками с парашютом 🪂 (мировые рекорды, обучение инструкторов по всему миру , курирование аэродромов и ведение своего скайдайв бизнеса) до владения и управления 10 объектов недвижимости в СПб.

Много путешествовал , более 50 стран. Жил в центральной Америке , Азии , строил Бернинг Мэн в пустыне 40 дней, Ехал по сша на мотоцикле месяц через 33 штата. Но все это в прошлом.

За годы жизни на Гаваях отрезал все контакты и ушел в глубокие внутренние трансформации через практики , проработки подсознания, спорт, служение, диалог с творцом.

Мир воспринимаю через тело , прожил все возможные экспириенцы и практики в этом теле от марафонов и 300км вело пробегов в 16 лет , до глубоких медитаций , много дневных практик и полумесячных голоданий. 

💫 Делюсь духовными трансформациями и практиками,  питательными опытами (сам Веган 6 лет на 90% только сырая пища), 
💫 Исцеляю сознания , душы и тела людей через индивидуальную работу (чистки, практики).

Телесный алхимик и духовный наставник. 🙏

У меня есть инструкция к телу человека , в том числе и к Вашему.🎯

Деньги дадут вам все, но не физическое, ментальное и уж тем более духовное здоровье и богатство. ✨

С любовью ❤️‍🔥",['Peleheart.com']
17,29681330,2023-02-23 03:27:14+00:00,"Hello, my name is Alexander Sivura and I am the head of AI at HealthTap, a company that provides online access to doctors and health information. I recently completed the Artificial Intelligence Professional Program at Stanford University, where I learned from some of the world’s leading AI researchers. I have experience in developing mobile applications, analyzing data, and managing products. I am passionate about applying AI to solve real-world problems in healthcare. I am also open to joining AI startups on early stages as CTO.",[]
18,1325657130,2023-02-23 03:27:21+00:00,"Всем привет! Я Оля Осокина - продюсер IT фаундеров из Лос Анджелеса. 
Я председатель всех жюри премии Stevie Award ( на официальном сайте они себя считают Оскаром за бизнес) - в этом году моя подпись стоит у победителей Google, Philip Morris и т.д. 
Предприниматель и инноватор года среди 70 стран, вхожу в шортлист списка топ 10 IT женщин. Forbes 30/30. Forbes Next 1000. 
Я сделала свой Road Map жизни и краткие значимые события для знакомства в скринах. 
Строю в Калифорнии венчурную экосистему - скоро ее презентация. В это время мой консалтинг успешно приносит клиентам деньги, за этот год 124 миллиона долларов - можно почитать,  как я это сделала для них,  тут - Instagramhttps://www.instagram.com › la_vit...olya osokina. it founders producer from 📍 Los Angeles
Теперь мы с вами знакомы на 6% 😉
Готова делиться опытом и всегда рада новым знакомствам ❤️","['т.д.', 'https://www.instagram.com', 'la_vit...olya']"
19,203405755,2023-02-23 04:14:10+00:00,"Привет! 

Дмитрий, с 25 февраля 2022 живу в Лос Анджелесе, Redondo Beach.

Вместе с Павлом Даниловым (ex. Fridge No More) фаундер AI-стартапа. 
Начинаем с Disaster Recovery для cloud native компаний. 
Но в будущем это Сopilot для devops:) 
Ищем партнеров на пилоты и ранних инвесторов. 
Только что инкоркопорировались и получили первый чек.
Наш дек — https://docsend.com/view/frpxd5frujucpi7t 

Раньше вот чем занимался:
2006-08, java разработчик, Sun Java Academy
2008-19, фаундер в B2B провайдере, M&A с Эр-Телекомом.
2021-22, фаундер в кибербезе стартапе, exit в октябре 2022.

Когда есть время, бегаю марафоны и играю в футбол. 
Буду рад новым знакомствам!",['https://docsend.com/view/frpxd5frujucpi7t']
20,594290590,2023-02-23 04:24:05+00:00,"Всем привет! 

Меня зовут Мария Рудник. 3 месяца назад приехала в США с 5 дочерьми, через Мексику. Тот еще опыт 😅. Сейчас живу во Фресно. 

Есть комьюнити женщин в Нигерии, в сфере фертильности (1000+ человек). 

Создаю мобильную игру о планировании беременности и бесплодии. Активно использую для работы над ней chatGPT и midjourney.

Раньше, 4 года работала в сфере медицинского туризма и телемедицины.

2 года прожила в Турции. 

Моя инста: https://instagram.com/mary.habits?igshid=YmMyMTA2M2Y=

Рада знакомству 😃",['https://instagram.com/mary.habits?igshid=YmMyMTA2M2Y=']
21,616418129,2023-02-23 04:35:03+00:00,Кайф! Очень хочется лично познакомиться!,[]
22,466901621,2023-02-23 06:27:15+00:00,"Всем привет, меня зовут Александр Федоров, я Director of Engineering в финтех старапе. Благодаря нам компании понимают что у них происходит с финанссами (FinOps)

В прошлом году сделал MBA и интересуюсь куочингом (ICF)

Живу в Saratoga, CA

в США с 2014",[]
23,1356539438,2023-02-23 16:15:35+00:00,"👋Друзья, всем привет!
Сегодня вылетаю к Сан Франциско, жду скорейшего знакомства с каждым, отличная компания собирается! 🚀

Максим Стрельченко
Предприниматель, гражданин мира 😃:
Баларусь, Франция, Кипр, с 2010 в Дубай 🇦🇪, с 2022 в Майами 🇺🇸

Чем могу быть полезен?
🎯 Нетворкинг, знаком с 1000+ предпринимателями (C500;YBC;EC)
🎯 Если вы ищете партнёра и инвестиции в США

✅ Основатель группы компаний Constanta-Group: поставки брендовой электроники оптом по всему миру;
✅ Основатель группы компаний iPoint: дистрибуция товаров в региональные сети;
✳️ В 2022 сделал exit, сейчас разрабатываю финтех стартап в США.

Интересы:
🏘 Бизнес, Инвестиции, Нетворкинг
🏄‍♂️ Cёрфинг, Рыбалка, Горы
👨‍👩‍👧‍👧 Семья, Путешествия, Жизнь в США
🧩Ценности: Развитие, Люди, Время, Польза обществу

🤝Будем на связи:
Telegram: @mxstrel
Instagram: https://www.instagram.com/maxim.strelchenko",['https://www.instagram.com/maxim.strelchenko']
24,258695761,2023-02-23 16:35:44+00:00,"#знакомство 
👨‍🎤Олег Михайлов
🇺🇸San Francisco Bay Area. 

📌Организовал 6 YouTube каналов для своего бизнеса.
📌Настроил ИТ инфраструктуру для бизнеса в США: Телефония, Реклама , CRM система.
📌Основатель действующего бизнеса по ремонту бытовой техники Appliance repair & HVAC.
📌Основатель самого крупного телеграмм канала объединяющий техников Америки “Техников из США”.
📌Делюсь информацией по бизнесу, отдых на природе, караоке, тхэквондо
❗️Запрос: познакомиться с людьми
🔥Обменом опытом.
💣networking 

Instagram:
https://instagram.com/mikhailovolegblog",['https://instagram.com/mikhailovolegblog']
25,238227687,2023-02-23 18:11:10+00:00,"Всем привет!
Я Юлия Евсеева – системный расстановщик, трансперсональный психолог и коуч, ведущая расстановочных ретритов в США и трансформационных программ для женщин. 

Живу 6 лет в сердце Кремниевой долины с любимым мужем и 3 сыновьями.

В прошлой жизни финансист, до переезда работала в Банке России. Сейчас веду несколько бизнесов, в т.ч. онлайн-школу.

Горжусь тем, что за последние несколько лет полностью сменила сферу деятельности, найдя свою миссию.
Прошла путь от банковского офисного работника до психолога-расстановщика, ведущей ретритов в Калифорнии. 
С нуля стартовала и веду свой бизнес. 
Прошла колоссальные личные трансформации и теперь помогаю женщинам раскрыть свою самоценность, уникальность и индивидуальность. 

А еще горжусь тем, что за 15+ лет брака и особенно за последние кризисные годы не растеряла отношения с мужем, а наоборот, наши отношения вышли на новый уровень близости.

Сейчас я успешно совмещаю семью и бизнес, и делюсь этим проходом с другими женщинами.

Помогаю людям обрести себя в новой стране, в новом статусе, во время кризисов. Жить в легкости и радости, своей (а не чужой) жизнью.

Мои клиенты открывают свой бизнес с нуля, увеличивают свой доход, покупают дома мечты, уходят с нелюбимой работы, выигрывают суды, выходят замуж, исполняют мечты и тд.

Мои контакты:
https://instagram.com/didadenka
https://instagram.com/didadenka_usa
https://instagram.com/retreat_usa
https://t.me/didadenka_usa 
@didadenka

Я верю, что все люди связаны между собой, и как в Аватаре каждый имеет доступ к всеобщему древу жизни и друг другу. Моя миссия - делать мир лучше через увеличение числа осознанных людей. Любовь - она внутри нас. И чем больше любви, света и мира внутри каждого из нас, тем больше мира и любви во всем мире.

Рада быть здесь и рада знакомству (с кем еще не знакома)! ❤️","['т.ч.', 'https://instagram.com/didadenka', 'https://instagram.com/didadenka_usa', 'https://instagram.com/retreat_usa', 'https://t.me/didadenka_usa']"
26,458656668,2023-02-23 18:25:32+00:00,"Я тоже хочу с тобой познакомиться, все выше написанное очень откликается 🙂",[]
27,2055620117,2023-02-23 19:16:10+00:00,"Ребята, всем привет! 👋🏼   🇺🇸 

Меня зовут Арчи. В штатах побывал первый раз в 9 лет, в американском лагере, в Миннесоте, не говоря на английском. Ненавидел with passion! :) 

🌲 Первый “бизнес” сделал с другом в 15 лет. Продавали ёлки в спальном районе Петербурга. Помню 28 декабря.. Продано всего процентов 20 от объема, на улице +2, дождь, ветер такой силы, что приходилось газелью прикрывать ёлки, чтобы их не сдуло вместе с оградой, и ловить постоянно улетающую гирлянду. Люди, прикрывающиеся зонтами, портфелями, и сумками бегут домой… У нас на магнитофоне играет Джингл Белз… Хотелось плакать и смеяться :)  

🍦 Затем похожий “успех” спустя пол года с продажей мороженного на рикшах в парках Петербургa. В то лето в июле было 22 дождливых дня, в августе около 12 градусов тепла… В общем я теперь не люблю мороженое 😂

🚈 Далее было “я уеду жить в Лондон”, где мы сделали первый IT проект, маркетплейс по аренде повседневных вещей Uuhuu. Тут более успешно)

🏊‍♂️ Сейчас помогаю пловцам в раскрытии своего потенциала с помощью персонализированных тренировок, сгенерированных AI и носимых устройств 
(наш web: https://amfibian.co).

Учусь делать то, что люблю за процесс, а не за результат.
 🧘 Еще уделаю энергию йоге, медитациям, серфу, теннису, и плаванию. 

Рад быть здесь и жду встречи! 🙌🏼","['декабря..', 'https://amfibian.co']"
28,174498493,2023-02-23 19:59:57+00:00,"Всем привет! Меня зовут Рязанов Валерий. В США базируюсь в Остине (ТХ) 🇺🇸

Родился в Нижнем Новгороде. С 2009 занимался веб автоматизацией (ZennoPoster) и в 2011 через череду случайных событий нашел американских партнеров.
2010-2016 бизнес по лидогенерации для HomeAdvisor. Сетка из 10000 сайтов и SEO для них.
с 2015 проект на Амазон https://www.amazon.com/s?i=merchant-items&me=A1WFZRQPDGQ55T
На данный момент наиболее успешный из моих проектов (оборот около $100 млн) с частичным экситом в 2020.
В этом году запустил проект ""от сердца"" по внедрению полезных привычек в жизнь (тренировки, ранний подьем отказ от алкоголя, сахара и другие), но о нем еще слишком рано рассказывать.

Обожаю горы и сноуборд ⛰🏂. Много путешествую по миру.  На встречу с вами полечу 16 часов из Дубай, а потом еще несколько часов на машине из LA. С нетерпением жду встречи https://instagram.com/wryazanov","['https://www.amazon.com/s?i=merchant-items', 'https://instagram.com/wryazanov']"
29,2113343303,2023-02-23 20:03:45+00:00,Кидай ссылку на Тг-Канал,[]
30,405576385,2023-02-23 20:59:59+00:00,"Всем привет.

1. Меня зовут Эзиз (в штатах зовут Ez, читается как easy, легко читать, легко запомнить)

2. Живу в США около 6 лет. Со-основатель компании InitBoard, предоставляем ИТ-консалтинг в частности предоставляем поддержку телекоммуникационного оборудования и его ремонт. С 2020 года активно участвуем в проекте Helium и строим децентрализованную сеть LoRaWAN и 5G. 

3. Смог пройти интенсивный 4-х недельный вступительный буткемп и пройти 2-х летнее обучение в 42 Silicon Valley. И самое главное в 2020 году решил остаться в США и заниматься своей мечтой строить децентрализованные сети. В общем живу в мечте! 🚀

4. Могу подсказать про локальные сети, беспроводная связь (Wi-Fi, 5G и прочее), ИТ решения и пообщаться на разные тему от экономических систем будущего  до космоса.

Интересы:
Бизнес, Инвестиции, ИТ-Технология.
👨‍👩‍👧‍👧 Семья, 🗺 Путешествия, 
🇺🇸 Жизнь в США, 🏀 Баскетбол, 
🧘🏻‍♂️Осознанность, 🏃🏻‍♂️Бег по утрам.

Рад буду со всеми познакомится.
TG: @ezizk 
IG: https://www.instagram.com/ez_kul",['https://www.instagram.com/ez_kul']
31,868778237,2023-02-23 21:11:43+00:00,"Всем привет. Меня зовут Илья. Я Partner/Head of Operations in Careerist (YC S21). Мы ed-fintech platform, обучаем различным специальностям(QA, Sales, Support & more), финансируем и автоматизируем поиск и выход на работу. Прошли через YC(S21). Когда мы начинали, нас было 5ро, сейчас в команде 360 сотрудников по всему миру. На данный момент в компании сфокусирован на Business Development and Recruiting. Если вам нужны сейлзы в большом количестве или помощь с наймом на сложные позиции, вам ко мне. 

До этого был фаундером в компании Mezomax. Провёл её через крупнейший в мире биотех акселератор IndieBio, привлёк первоначальные инвестиции, провели pre-clinical studies и даже собрали Human Data. 

Что касается ивента, рассматриваем ChatGPT, как один из инструментов для улучшения резюме наших студентов, подготовки к интервью, и отбора кандидатов для рекрутинга. Также буду рад познакомиться с остальными участниками близкими по духу. 

Мой ФБ
Мой LinkedIn

Увлекаюсь Calisthenics и пропагандирую Wim Hof Method.",[]
32,167865828,2023-02-23 22:18:28+00:00,"Всем привет. 
Я Роман Соловьев. 
Проживаю в Сакраменто штат Калифорния.  
Занимаюсь инвестированием в коммерческие строения. Также аренда домов на колёсах.  Ищу компаньонов по созданию инвестиционной платформы, чтоб каждый мог стать частью проекта.",[]
33,127762129,2023-02-24 01:50:27+00:00,"Привет всем. Меня зовут Артем в США меньше 1 года (месяцев 10)
Последнее время жил в Москве работал Режиссером и Оператором постановщиком.
Снял много реклам для крупных Российских и Мировых компаний
Игры Хасбро(Монополия), Яндекс, Авито, Сбер, Старбакс, Брабус, Uber, Леруа Мерлен и др.

А так же очень много работал с Инфлюенсерами, Блоггерами и Звездами.
(Влад A4, Лиза Пескова, Ваня Дмитриенко (ты венера я юпитер), Måneskin (группа из Италии)
Денис Кукаяка, Ксения Собчак, Джарахов, Найдин Серовски, Жидковский)
Из тех кого вспомнил быстро ⬆️ (вдруг знаете)

Мой Шоурил: https://t.me/artemlihvCHANNEL/27
Мой Инстаграм: https://www.instagram.com/artemlihv","['https://t.me/artemlihvCHANNEL/27', 'https://www.instagram.com/artemlihv']"
